===== System Information =====
Time: 2025-10-28T16:05:42.280
App: ColorProDisplayManager
App Version: 1.1.0.1028
Qt Version: 6.5.2
OS: Windows 11 Version 24H2
CPU Arch: x86_64
Screen[0] Name: \\.\DISPLAY1
Screen[0] Size: 1920 x 1080 px
Screen[0] DPI: 96
Screen[0] Physical Size: 344mm x 194mm
Screen[1] Name: VP2458
Screen[1] Size: 1920 x 1080 px
Screen[1] DPI: 96
Screen[1] Physical Size: 527mm x 296mm
Screen[2] Name: VP3256-4K
Screen[2] Size: 2560 x 1440 px
Screen[2] DPI: 96
Screen[2] Physical Size: 697mm x 392mm
==============================
[16:05:42.281]  [T:0x60947] I: [ CAppRunningNotifier::initialize ] CAppRunningNotifier server is running
[16:05:42.282]  [T:0x60947] D: [LanguageManager] initSystemLanguage: loaded "en_US"
[16:05:42.297]  [T:0x60947] I: [ CDMControllerFactory::loadGoogleInterFonts ] [Font] Loaded: ":/Resources/fonts/Inter-Regular.ttf" -> families: "Inter"
[16:05:42.299]  [T:0x60947] I: [ CDMControllerFactory::loadGoogleInterFonts ] [Font] Loaded: ":/Resources/fonts/Inter-Medium.ttf" -> families: "Inter Medium"
[16:05:47.713]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:47.837]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:47.961]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:48.100]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:48.240]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:48.381]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:48.505]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:48.645]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:48.768]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:48.895]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:49.021]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:49.144]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:49.282]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:49.423]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:49.564]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:49.702]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:49.843]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:49.969]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:50.112]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:50.251]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:50.387]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:50.517]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:50.642]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:50.782]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:50.919]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:51.058]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:51.058]  [T:0x60947] W: [ CDisplayManagerAgent::syncOneMonitorsVCPPolling ] Get VCP  "Brightness"  wrong. VCP value is "0"
[16:05:51.261]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[16:05:51.400]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[16:05:51.537]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[16:05:51.679]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[16:05:51.814]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[16:05:51.956]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[16:05:52.081]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[16:05:52.207]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[16:05:52.350]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[16:05:52.489]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[16:05:52.628]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[16:05:52.753]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[16:05:52.894]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[16:05:53.015]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[16:05:53.141]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[16:05:53.267]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[16:05:53.393]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[16:05:53.520]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[16:05:53.658]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[16:05:53.799]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[16:05:53.940]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[16:05:54.064]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[16:05:54.210]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[16:05:54.349]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[16:05:54.486]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[16:05:54.627]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[16:05:54.766]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[16:05:54.906]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[16:05:55.029]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[16:05:55.153]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[16:05:55.296]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[16:05:55.435]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[16:05:55.576]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[16:05:55.701]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[16:05:55.841]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[16:05:55.967]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[16:05:56.089]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[16:05:56.232]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[16:05:56.232]  [T:0x60947] W: [ CDisplayManagerAgent::syncOneMonitorsVCPPolling ] Get VCP  "Contrast"  wrong. VCP value is "0"
[16:05:56.434]  [T:0x60947] W: [ CVCPAdaptor::getVCPValue ] Failed to get option value, ModelName is  "VP2458" VCP is: "Audio Mute / Screen Blank" VCP value is 0
[16:05:56.633]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Signal Source List" VCP value is  16385
[16:05:56.834]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Restore Factory Defaults" VCP value is  0
[16:05:56.937]  [T:0x60947] I: [ CDisplayManagerAgent::syncMonitorsAction ] Sync monitor:  "VP3256-4K"
[16:05:57.034]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Video Signal Auto Detect" VCP value is  2 VCP option name: "On"
[16:05:57.229]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Sharpness" VCP value is  2
[16:05:57.433]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Restore Factory Color Defaults" VCP value is  0
[16:05:57.633]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Input Selection" VCP value is  18 VCP option name: "Digital Video (TMDS) 3 HDMI 2"
[16:05:57.835]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Blue Light Filter" VCP value is  0
[16:05:58.039]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Display Application" VCP value is  0 VCP option name: "Off"
[16:05:58.242]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Restore Factory Luminance" VCP value is  0
[16:05:58.444]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Screen Orientation" VCP value is  1 VCP option name: "0"
[16:05:58.645]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Color Temperature" VCP value is  5 VCP option name: "Native"
[16:05:58.848]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  100
[16:05:59.050]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Power Indicator" VCP value is  2 VCP option name: "On"
[16:05:59.253]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Energy Saving" VCP value is  1 VCP option name: "Energy Saving Off"
[16:05:59.454]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Volume" VCP value is  85
[16:05:59.657]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  100
[16:05:59.861]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Audio Mute / Screen Blank" VCP value is  2 VCP option name: "Un-Mute the audio"
[16:06:00.057]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Signal Source List" VCP value is  0
[16:06:00.262]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Restore Factory Defaults" VCP value is  0
[16:06:00.467]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Gamma" VCP value is  120 VCP option name: "2.2"
[16:06:00.576]  [T:0x60947] W: [ CDisplayDatabaseKeeper::getData ] Failed to get data, data is empty CDisplayDatabaseCommand::DisplayDatabaseElements::AllMonitorVCPXORMap
[16:06:00.577]  [T:0x60947] W: [ CDisplayDatabaseKeeper::getData ] Failed to get data, data is empty CDisplayDatabaseCommand::DisplayDatabaseElements::ALLMonitorVCPOptionMap
[16:06:00.578]  [T:0x60947] I: [ CAutoScreenPivotModule::initializeAutoScreenPivot ] connectedMonitorSet:  QSet("VP2458,VKR183100011", "VP3256-4K,WPK214700016")
[16:06:00.667]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Screen Orientation" VCP value is  1
