===== System Information =====
Time: 2025-10-23T19:35:07.914
App: ColorProDisplayManager
App Version: 1.1.0.1023
Qt Version: 6.5.2
OS: Windows 11 Version 24H2
CPU Arch: x86_64
Screen[0] Name: \\.\DISPLAY1
Screen[0] Size: 1536 x 864 px
Screen[0] DPI: 96
Screen[0] Physical Size: 344mm x 194mm
Screen[1] Name: VP2458
Screen[1] Size: 1920 x 1080 px
Screen[1] DPI: 96
Screen[1] Physical Size: 527mm x 296mm
Screen[2] Name: VP3256-4K
Screen[2] Size: 2560 x 1440 px
Screen[2] DPI: 96
Screen[2] Physical Size: 697mm x 392mm
==============================
[19:35:07.915]  [T:0x9553f] I: [ CAppRunningNotifier::initialize ] CAppRunningNotifier server is running
[19:35:07.916]  [T:0x9553f] D: [LanguageManager] initSystemLanguage: loaded "en_US"
[19:35:08.452]  [T:0x9553f] I: [ CDMControllerFactory::loadGoogleInterFonts ] [Font] Loaded: ":/Resources/fonts/Inter-Regular.ttf" -> families: "Inter"
[19:35:08.453]  [T:0x9553f] I: [ CDMControllerFactory::loadGoogleInterFonts ] [Font] Loaded: ":/Resources/fonts/Inter-Medium.ttf" -> families: "Inter Medium"
[19:52:14.270]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:15.403]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:15.533]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:16.673]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:16.820]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:17.953]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:18.081]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:19.215]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:19.346]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:20.493]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:20.622]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:21.761]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:21.889]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:23.028]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:23.162]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:24.300]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:24.425]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:25.574]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:25.709]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:26.849]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:26.977]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:28.122]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:28.236]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:29.371]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:29.499]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:30.628]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:30.741]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:31.875]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:31.987]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:33.105]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:33.223]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:34.347]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:34.461]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:35.579]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:35.693]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:36.821]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:36.935]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:38.056]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:38.168]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:39.286]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:39.400]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:40.519]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:40.635]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:41.765]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:41.880]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:42.996]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:43.110]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:44.230]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:44.352]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:45.465]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:45.580]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:46.698]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:46.812]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:47.943]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:48.060]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:49.204]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:49.317]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:50.448]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:50.566]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:51.691]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:51.806]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:52.949]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:53.058]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:54.177]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:54.292]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:55.434]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:55.548]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:56.679]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:56.793]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:57.925]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:58.037]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:59.157]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:52:59.270]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:00.419]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:00.547]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:01.692]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:01.820]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:02.955]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:03.083]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:04.221]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:04.349]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:05.495]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:05.620]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:06.767]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:06.881]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:08.029]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:08.161]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:09.298]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:09.430]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:10.577]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:10.706]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:11.843]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:11.970]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:13.119]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:13.233]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:14.384]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:14.499]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:15.643]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:15.766]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:16.891]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:17.002]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:18.149]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:18.275]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:19.409]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:19.520]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:20.652]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:20.770]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:21.893]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:22.009]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:23.147]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:23.278]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:24.407]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:24.519]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:25.639]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:25.754]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:26.888]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:26.999]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:28.129]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:28.242]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:29.378]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:29.498]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:30.630]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:30.743]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:31.889]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:32.005]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:33.125]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:33.238]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:34.369]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:34.482]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:35.619]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:35.747]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:36.882]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:36.995]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:38.129]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:38.259]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:39.404]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:39.515]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:40.652]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:40.766]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:41.909]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:42.023]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:43.172]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:43.300]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:44.433]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:44.552]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:45.683]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:45.800]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:46.931]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:47.044]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:48.163]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:48.277]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:49.427]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:49.540]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:50.658]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:50.775]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:51.903]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:52.017]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:53.133]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:53.247]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:54.367]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:54.486]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:55.607]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:55.719]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:56.840]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:56.953]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:58.087]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:58.216]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:59.354]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:53:59.482]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:54:00.618]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:54:00.750]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:54:01.882]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:54:02.015]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:54:03.153]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:54:03.282]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:54:04.419]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:54:04.548]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:54:05.683]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:54:05.814]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:54:06.949]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:54:07.080]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:54:08.228]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:54:08.361]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:54:09.491]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:54:09.623]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:54:10.769]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:54:10.900]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:54:12.035]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:54:12.163]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:54:13.298]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:54:13.427]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:54:14.574]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:54:14.703]  [T:0xd4a85] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
[19:54:15.847]  [T:0xad497] I: [ CDisplayManager::setMonitorAutoScreenPivotByIndex ] Screen orientation and current rotation are the same: 0
